"ID","时间戳","事件类型","参数1","参数2","参数3","参数4","远方就地场景","分簇控制模式","最小并簇数","使能簇标志1","使能簇标志2","退并簇标志1","退并簇标志2","安装簇数","在线簇数","堆运行状态","堆总故障","堆允充允放状态","严重故障","一般故障","轻微故障","簇汇总硬件故障","堆硬件故障","堆电压","堆电流","堆SOC","堆SOH","堆SOE","堆充电SOP","堆放电SOP","绝缘电阻+","绝缘电阻-","堆最大允许充电功率","堆最大放电允许功率","簇电压最大值","簇电压最大值簇号","簇电压最小值","簇电压最小值簇号","簇电流最大值","簇电流最大值簇号","簇电流最小值","簇电流最小值簇号","簇SOC最大值","簇SOC最大值簇号","簇SOC最小值","簇SOC最小值簇号","包电压最大值","包电压最大值簇号","包电压最大值包号","包电压最小值","包电压最小值簇号","包电压最小值包号","包温度最大值","包温度最大值簇号","包温度最大值包号","包温度最小值","包温度最小值簇号","包温度最小值包号","动力接插件温度最大值","动力接插件温度最大值簇号","动力接插件温度最大值包号","动力接插件温度最小值","动力接插件温度最小值簇号","动力接插件温度最小值包号","单体电压最大值","单体电压最大值簇号","单体电压最大值节号","单体电压最小值","单体电压最小值簇号","单体电压最小值节号","单体温度最大值","单体温度最大值簇号","单体温度最大值节号","单体温度最小值","单体温度最小值簇号","单体温度最小值节号","单体SOC最大值","单体SOC最大值簇号","单体SOC最大值节号","单体SOC最小值","单体SOC最小值簇号","单体SOC最小值节号","OCV最大值","OCV最大值簇号","OCV最小值","OCV最小值簇号","事件记录版本号","BOOT版本号","软件版本号","SOX算法版本号","退并簇算法版本号","系统DI输入状态","系统DO输出状态","EMS通讯状态","PCS通讯状态","水冷机通讯状态","I/O模块通讯状态","除湿机通讯状态","SD卡状态","网卡2 IP地址"
1,"2025-11-13-11:56:48","BCU复位","第1堆","第3簇","/","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","7","0","开路","轻微故障","可充可放","单体温差上限告警,簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,电池包电压下限告警,单体电压下限告警,充电单体温度上限告警,充电单体温度下限告警,放电单体温度上限告警,放电单体温度下限告警,单体SOC下限告警","充电单体温度下限告警,放电单体温度上限告警,放电单体温度下限告警","簇绝缘电阻R-下限告警,充电单体温度上限告警,充电单体温度下限告警","存在无效数据","无故障","0.0V","0.0A","30.0%","100.0%","30.0%","0.0%","0.0%","437kΩ","576kΩ","0kW","0kW","804.9V","2","804.5V","4","0.0A","1","0.0A","1","30.0%","1","30.0%","1","93.8V","5","3","93.2V","1","2","32.2℃","2","3","27.0℃","3","5","39.0℃","1","1","38.7℃","2","2","3.284V","5","14","1.666V","2","193","3276.6℃","1","0","-14.0℃","7","1","30.0%","7","1","0.0%","2","1","0V","1","0V","1","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-251113","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","199"
2,"2025-11-13-13:37:04","系统启动","/","/","/","/","远方","统一控制","1","1111111111","1111111111","0000000000","0000000000","7","0","开路","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","1","0V","1","/","/","/","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","199"
3,"2025-11-13-13:37:04","SD卡插卡状态","未插卡","已插卡","/","/","远方","统一控制","1","1111111111","1111111111","0000000000","0000000000","7","0","开路","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","1","0V","1","/","/","/","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","199"
4,"2025-11-13-13:37:05","SD卡挂载状态","卸载","挂载","/","/","远方","统一控制","1","1111111111","1111111111","0000000000","0000000000","7","0","开路","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","3276.7V","0","3276.7V","0","3276.7A","0","3276.7A","0","3276.7%","0","3276.7%","0","0.0V","1","0","0.0V","1","0","0.0℃","1","0","0.0℃","1","0","0.0℃","1","0","0.0℃","1","0","0V","1","0","0V","1","0","0.0℃","1","0","0.0℃","1","0","0.0%","1","0","0.0%","1","0","0V","1","0V","1","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-251113","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","199"
5,"2025-11-13-13:37:25","SD卡写入状态变化","SD卡路径不存在","写成功","/","/","远方","统一控制","1","1111111111","1111111111","0000000000","0000000000","7","0","开路","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","100.0%","0.0%","0.0%","0.0%","145kΩ","252kΩ","0kW","0kW","804.8V","2","804.6V","1","0.0A","1","0.0A","1","30.0%","1","30.0%","1","93.9V","5","3","93.2V","1","1","32.2℃","2","3","27.0℃","3","5","39.0℃","1","1","38.7℃","2","4","3.285V","5","4","1.668V","2","115","65.0℃","1","6","-39.2℃","2","19","30.0%","1","1","30.0%","1","1","0V","1","0V","1","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-251113","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","199"
