"ID","时间戳","事件类型","参数1","参数2","参数3","参数4","远方就地场景","分簇控制模式","最小并簇数","使能簇标志1","使能簇标志2","退并簇标志1","退并簇标志2","安装簇数","在线簇数","堆运行状态","堆总故障","堆允充允放状态","严重故障","一般故障","轻微故障","簇汇总硬件故障","堆硬件故障","堆电压","堆电流","堆SOC","堆SOH","堆SOE","堆充电SOP","堆放电SOP","绝缘电阻+","绝缘电阻-","堆最大允许充电功率","堆最大放电允许功率","簇电压最大值","簇电压最大值簇号","簇电压最小值","簇电压最小值簇号","簇电流最大值","簇电流最大值簇号","簇电流最小值","簇电流最小值簇号","簇SOC最大值","簇SOC最大值簇号","簇SOC最小值","簇SOC最小值簇号","包电压最大值","包电压最大值簇号","包电压最大值包号","包电压最小值","包电压最小值簇号","包电压最小值包号","包温度最大值","包温度最大值簇号","包温度最大值包号","包温度最小值","包温度最小值簇号","包温度最小值包号","动力接插件温度最大值","动力接插件温度最大值簇号","动力接插件温度最大值包号","动力接插件温度最小值","动力接插件温度最小值簇号","动力接插件温度最小值包号","单体电压最大值","单体电压最大值簇号","单体电压最大值节号","单体电压最小值","单体电压最小值簇号","单体电压最小值节号","单体温度最大值","单体温度最大值簇号","单体温度最大值节号","单体温度最小值","单体温度最小值簇号","单体温度最小值节号","单体SOC最大值","单体SOC最大值簇号","单体SOC最大值节号","单体SOC最小值","单体SOC最小值簇号","单体SOC最小值节号","OCV最大值","OCV最大值簇号","OCV最小值","OCV最小值簇号","事件记录版本号","BOOT版本号","软件版本号","SOX算法版本号","退并簇算法版本号","系统DI输入状态","系统DO输出状态","EMS通讯状态","PCS通讯状态","水冷机通讯状态","I/O模块通讯状态","除湿机通讯状态","SD卡状态","网卡2 IP地址"
57,"2099-12-31-11:13:00","未知事件(16)","83","34","213","1","6(未定义)","23477(未定义)","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","139kW","25.1V","0","0.0V","0","804.8A","2","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","169","3","102.9℃","164","3","51.5℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.53V","12","3589","-3200.0℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
58,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
59,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
60,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
61,"2099-12-31-11:13:00","未知事件(16)","83","49","213","1","2(未定义)","23477(未定义)","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","139kW","25.1V","0","0.0V","0","804.8A","2","804.6A","3","0.0%","1","0.0%","1","30.0V","1","44","25.7V","169","3","102.9℃","164","3","77.1℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.532V","12","3589","-3200.0℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
62,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
63,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
64,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
65,"2099-12-31-11:13:00","未知事件(16)","83","86","111","1","6(未定义)","分簇控制","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,单体电压上限告警,单体电压下限告警","簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,单体电压上限告警","预充接触器反馈故障,预充高边驱动反馈故障,烟感反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","3.2%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","133kW","21.3V","0","0.0V","0","804.8A","2","804.5A","6","0.0%","1","0.0%","1","30.0V","1","44","25.7V","171","3","77.3℃","164","3","77.1℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.53V","12","28421","-3200.0℃","6","49410","-51.2℃","127","2","2969.6%","255","6406","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
66,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
67,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
68,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
69,"2099-12-31-11:13:00","未知事件(16)","84","40","213","1","6(未定义)","23477(未定义)","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","138kW","24.8V","0","0.0V","0","804.8A","7","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","169","3","102.9℃","164","3","51.5℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.276V","12","3589","-3200.0℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
70,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
71,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
72,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
73,"2099-12-31-11:13:00","未知事件(16)","84","64","213","1","就地","23477(未定义)","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.8A","2","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","170","3","77.3℃","164","3","51.5℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.276V","12","1029","-3200.0℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
74,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
75,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
76,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
77,"2099-12-31-11:13:00","未知事件(16)","85","23","111","1","就地","统一控制","1","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","3.2%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.8A","7","804.5A","6","0.0%","5","0.0%","5","30.0V","5","44","128.1V","169","3","102.9℃","164","3","26.2℃","54","1","102.9℃","14","1","51.8℃","134","1","0.261V","134","1281","54.529V","12","3589","-1664.0℃","12","54279","-51.2℃","127","5","2969.6%","255","263","1126.4%","1","263","0V","0","261V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
78,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
79,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
80,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
81,"2099-12-31-11:13:00","未知事件(16)","85","37","111","1","6(未定义)","统一控制","1","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","3.2%","0.0%","3276.7%","30.0%","3276.7%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.7A","5","804.5A","6","0.0%","5","0.0%","5","30.0V","5","44","128.1V","169","3","102.9℃","164","3","26.2℃","54","1","102.9℃","14","1","51.8℃","134","1","0.261V","134","1281","54.529V","12","3589","-1612.8℃","12","19718","-51.2℃","127","5","6502.4%","127","5","0.0%","0","261","0V","0","261V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
82,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
83,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
84,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
85,"2099-12-31-11:13:00","未知事件(16)","89","87","111","1","4(未定义)","分簇控制","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","3.2%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","97kW","17.8V","0","0.0V","0","804.8A","2","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","168","3","25.8℃","163","3","77.1℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","53.506V","12","18180","-3200.0℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
